SampleID	Akashiwo_sanguinea	Alexandrium_andersonii	Alexandrium_cohorticula	Alexandrium_hiranoi	Alexandrium_ostenfeldii	Alexandrium_tamarense	Amphidinium_klebsii	Asterionellopsis_glacialis	Aureococcus_anophagefferens	Azadinium_poporum	Chaetoceros_curvisetus	Chaetoceros_debilis	Chaetoceros_diadema	Chaetoceros_lorenzianus	Chaetoceros_pseudocurvisetus	Chaetoceros_rostratus	Chaetoceros_simplex	Chaetoceros_socialis	Chaetoceros_tenuissimus	Chaetoceros_throndsenii	Chrysochromulina_leadbeateri	Coscinodiscus_radiatus	Cyclotella_meneghiniana	Cylindrotheca_closterium	Dictyocha_fibula	Dinophysis_acuminata	Dinophysis_miles	Dunaliella_salina	Eucampia_zodiacus	Fibrocapsa_japonica	Gonyaulax_polygramma	Gonyaulax_spinifera	Gonyaulax_verior	Guinardia_flaccida	Gymnodinium_catenatum	Halamphora_coffeiformis	Heterocapsa_triquetra	Heterosigma_akashiwo	Karenia_mikimotoi	Karlodinium_veneficum	Lauderia_annulata	Lepidodinium_chlorophorum	Leptocylindrus_danicus	Levanderina_fissa	Lingulodinium_polyedra	Margalefidinium_fulvescens	Margalefidinium_polykrikoides	Nitzschia_longissima	Noctiluca_scintillans	Plagioselmis_prolonga	Polykrikos_hartmannii	Prorocentrum_cordatum	Prorocentrum_rhathymum	Prorocentrum_triestinum	Protoceratium_reticulatum	Protodinium_simplex	Protoperidinium_crassipes	Prymnesium_parvum	Prymnesium_polylepis	Pseudo-nitzschia_australis	Pseudo-nitzschia_cuspidata	Pseudo-nitzschia_delicatissima	Pseudochattonella_verruculosa	Pseudocochlodinium_profundisulcus	Pyrophacus_steinii	Skeletonema_marinoi	Teleaulax_acuta	Tenuicylindrus_belgicus	Thalassiosira_allenii	Thalassiosira_curviseriata	Thalassiosira_mala	Thalassiosira_pseudonana	Thalassiosira_weissflogii	Tripos_fusus	Akashiwo_sanguinea	Alexandrium_andersonii	Alexandrium_cohorticula	Alexandrium_hiranoi	Alexandrium_ostenfeldii	Alexandrium_tamarense	Amphidinium_klebsii	Asterionellopsis_glacialis	Aureococcus_anophagefferens	Azadinium_poporum	Chaetoceros_curvisetus	Chaetoceros_debilis	Chaetoceros_diadema	Chaetoceros_lorenzianus	Chaetoceros_pseudocurvisetus	Chaetoceros_rostratus	Chaetoceros_simplex	Chaetoceros_socialis	Chaetoceros_tenuissimus	Chaetoceros_throndsenii	Chrysochromulina_leadbeateri	Coscinodiscus_radiatus	Cyclotella_meneghiniana	Cylindrotheca_closterium	Dictyocha_fibula	Dinophysis_acuminata	Dinophysis_miles	Dunaliella_salina	Eucampia_zodiacus	Fibrocapsa_japonica	Gonyaulax_polygramma	Gonyaulax_spinifera	Gonyaulax_verior	Guinardia_flaccida	Gymnodinium_catenatum	Halamphora_coffeiformis	Heterocapsa_triquetra	Heterosigma_akashiwo	Karenia_mikimotoi	Karlodinium_veneficum	Lauderia_annulata	Lepidodinium_chlorophorum	Leptocylindrus_danicus	Levanderina_fissa	Lingulodinium_polyedra	Margalefidinium_fulvescens	Margalefidinium_polykrikoides	Nitzschia_longissima	Noctiluca_scintillans	Plagioselmis_prolonga	Polykrikos_hartmannii	Prorocentrum_cordatum	Prorocentrum_rhathymum	Prorocentrum_triestinum	Protoceratium_reticulatum	Protodinium_simplex	Protoperidinium_crassipes	Prymnesium_parvum	Prymnesium_polylepis	Pseudo-nitzschia_australis	Pseudo-nitzschia_cuspidata	Pseudo-nitzschia_delicatissima	Pseudochattonella_verruculosa	Pseudocochlodinium_profundisulcus	Pyrophacus_steinii	Skeletonema_marinoi	Teleaulax_acuta	Tenuicylindrus_belgicus	Thalassiosira_allenii	Thalassiosira_curviseriata	Thalassiosira_mala	Thalassiosira_pseudonana	Thalassiosira_weissflogii	Tripos_fusus
EnvQDSumWWTP3	1	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	2124	0	0	0	563	6	0	0	0	139	1	0	0	0	0	3	3	10	11	4	0	0	0	1	0	0	0	0	0	0	0	14	0	8	0	51	0	10	0	1	4	0	1	696	1	0	0	5	7	0	0	0	47	0	1	1	21	0	0	0	7	5	0	0	0	1	3	12	9	0	0	0	0	2	379	0	0	7	172	78	20	0	2	125	9	29	0	0	0	14	2	274	50	11	1	0	0	11	0	0	0	0	0	2	7	33	0	14	1	18	0	171	0	1	4	0	0	50	3	0	0	47	64	0	0	4	11	0	1	3
EnvQDSumWWTP4	2	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	880	0	0	0	1219	16	5	1	0	128	11	2	0	0	0	1	1	3	12	9	1	0	0	0	1	1	0	0	0	0	6	50	0	7	0	48	0	3	0	5	10	0	0	175	1	0	2	8	18	0	0	0	36	0	1	1	7	0	0	0	1	0	0	0	0	1	2	0	2	0	0	0	0	0	62	0	0	0	23	247	4	0	0	10	1	0	0	0	0	3	0	1007	1	0	0	0	0	1	0	1	0	0	0	29	2	2	0	1	0	4	0	1	0	0	0	0	0	11	1	0	0	4	5	0	0	0	1	0	1	0
EnvQDSumWWTP5	4	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	487	0	0	0	2610	16	1	0	0	178	2	0	0	1	0	4	1	5	11	2	0	0	0	2	0	0	0	0	0	1	6	20	0	4	0	41	0	2	1	0	6	0	1	80	1	0	2	8	16	0	0	0	29	0	1	2	23	0	0	1	6	10	0	0	1	0	4	0	11	0	0	0	0	0	218	0	0	3	228	39	19	0	0	91	6	0	0	1	0	13	0	94	43	2	0	0	0	3	1	1	0	0	0	3	21	41	0	12	1	11	0	12	0	2	2	0	0	78	0	0	0	24	76	0	0	0	12	2	0	14
EnvQDWinBeach1	41	0	0	0	1	0	0	1	1	6	1	5	3	0	0	0	0	0	53	0	2	30	22	71	3	2	0	13	30	0	0	0	0	28	0	23	76	0	4	9	0	54	0	0	0	0	0	2	38	36	0	40	3	106	0	17	0	12	7	0	0	18	17	0	0	7	59	0	0	3	3	4	0	1	4	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	20	0	0	1	34	52	0	0	0	23	0	0	0	0	0	1	0	4	5	2	1	0	0	3	0	0	0	0	0	0	13	3	0	7	0	12	0	1	0	0	1	0	0	11	7	0	0	4	6	0	0	1	3	0	1	0
EnvQDWinBeach2	55	0	0	0	0	0	0	1	0	9	0	5	1	0	0	0	0	0	20	0	0	27	16	75	2	1	0	6	20	0	0	0	0	27	0	29	82	3	10	11	0	50	0	0	0	0	0	1	42	22	2	24	1	135	0	43	0	9	5	0	0	5	18	0	0	7	57	0	0	8	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	45	0	0	1	22	26	0	0	0	28	0	0	0	0	0	0	0	8	1	0	1	0	0	1	0	0	0	0	0	1	4	1	0	4	0	4	0	0	0	0	0	0	0	6	0	0	0	2	5	0	0	0	1	0	2	0
EnvQDWinBeach3	71	0	0	0	0	0	0	0	1	11	4	3	2	0	0	0	0	1	61	0	0	20	23	93	1	2	0	49	41	0	0	0	0	34	2	16	101	0	8	4	0	65	0	0	0	0	0	3	115	34	4	33	3	124	0	33	0	15	9	1	0	5	26	2	0	4	58	0	0	6	0	2	0	0	2	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	49	0	1	9	24	43	0	0	0	12	4	1	0	0	0	6	0	16	9	2	2	0	0	4	0	0	0	0	0	3	20	4	0	10	0	8	0	2	0	2	1	0	0	22	1	0	0	14	12	0	0	7	17	0	3	0
EnvQDWinBeach4	34	0	0	0	0	3	0	0	0	8	2	4	3	0	0	0	0	0	46	0	0	32	31	103	3	3	0	29	32	0	0	0	0	35	1	38	94	3	2	7	1	69	0	0	0	0	0	3	26	34	0	33	6	109	0	22	0	11	3	0	0	0	18	0	0	7	50	0	0	5	4	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	1	21	45	0	0	0	5	1	0	0	0	0	0	0	19	5	1	0	1	0	1	0	0	0	0	0	0	5	0	0	2	0	6	0	1	0	0	0	0	0	1	3	0	0	4	0	0	0	1	4	0	1	0
EnvQDWinBeach5	81	0	0	0	0	0	0	0	0	19	3	1	7	1	0	0	0	0	69	0	1	36	33	54	4	2	0	12	43	0	0	0	0	50	3	24	185	0	8	6	0	103	0	0	0	0	1	1	118	59	3	46	1	158	0	44	0	19	8	1	0	6	26	0	0	10	72	0	0	4	4	1	0	0	5	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	66	0	0	2	36	105	0	0	0	18	0	0	0	0	0	0	1	11	2	1	0	0	0	6	0	0	0	0	0	0	11	4	1	2	0	10	0	0	0	1	0	0	1	1	1	0	0	4	4	0	0	0	10	0	5	0
EnvQDWinEs1	11	0	0	0	1	0	0	0	0	1	66	0	50	0	0	0	0	0	38	0	0	0	96	13	0	0	0	1414	3	2	0	0	0	0	0	41	12	1	1	2	0	1	0	0	0	0	0	4	7	2	0	32	0	6	0	5	0	0	0	1	0	2	0	0	1	2	12	0	0	0	1	9	0	0	2	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	35	0	0	0	17	50	0	0	0	39	0	0	0	0	0	0	0	39	7	0	0	0	0	2	0	6	0	0	0	37	10	1	0	8	0	14	0	0	0	0	0	0	0	10	0	0	0	6	0	0	0	0	2	1	0	0
EnvQDWinEs2	7	0	0	0	0	0	0	0	0	0	59	0	31	0	0	0	0	0	30	0	0	1	72	22	1	0	0	640	1	3	0	0	0	0	0	16	9	0	0	0	0	0	0	0	0	0	1	5	1	1	0	207	0	7	0	3	0	0	0	0	0	1	0	0	0	1	8	0	0	0	0	15	0	0	2	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	1	26	0	0	2	45	230	0	0	0	31	1	9	0	0	0	1	0	109	10	1	0	0	0	4	0	3	0	0	0	14	12	0	0	27	0	22	0	2	0	1	2	0	0	4	1	0	0	8	11	0	0	2	6	2	0	1
EnvQDWinEs3	5	0	0	0	0	0	0	0	0	0	75	0	70	0	0	0	0	0	49	0	1	1	48	15	0	0	0	311	2	0	0	0	0	0	0	11	11	0	0	0	0	3	0	0	0	0	2	1	4	0	0	102	0	6	0	0	0	2	0	0	0	3	1	0	0	0	8	0	0	0	0	11	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	49	0	0	1	18	143	0	0	0	19	1	0	0	0	0	0	0	50	5	0	0	0	0	4	1	8	0	0	0	22	20	1	0	5	1	21	0	2	0	0	0	0	0	6	1	0	0	2	2	0	1	0	5	0	0	0
EnvQDWinEs4	4	0	0	0	1	1	0	0	0	0	14	0	9	0	0	0	0	0	21	0	0	0	46	13	0	0	0	122	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	1	0	1	0	51	1	3	0	1	0	0	0	0	0	4	0	0	0	0	5	0	0	0	0	4	0	1	4	0	0	0	0	0	0	0	0	0	2	1	3	0	0	0	0	0	48	0	0	0	30	241	0	0	0	15	2	0	0	0	0	3	0	49	5	1	1	0	0	0	0	7	0	0	0	13	13	1	0	8	0	30	0	2	0	0	0	0	0	1	1	0	0	3	4	0	1	0	6	1	0	0
EnvQDWinEs5	9	0	0	0	1	0	0	0	0	0	90	0	81	0	0	0	0	0	20	0	0	0	115	13	0	0	0	614	1	2	0	0	0	0	0	7	5	3	0	0	0	4	0	0	0	0	0	3	3	2	0	66	0	3	0	1	0	3	1	0	0	5	1	0	0	1	4	0	0	1	0	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	49	0	1	1	24	166	0	0	0	8	0	0	0	0	0	0	0	65	3	0	0	0	0	1	0	2	0	0	0	3	10	1	0	8	0	9	0	2	0	0	0	0	1	8	2	0	0	0	2	0	0	0	3	0	0	0
EnvQDWinMc1	1	0	0	0	0	0	0	0	1	1	3	0	40	0	0	0	0	0	17	0	0	3	43	44	0	0	0	37	3	0	0	0	0	0	0	36	24	1	0	1	0	4	0	0	0	0	0	3	8	33	1	25	0	8	0	2	0	1	0	0	0	9	1	0	0	12	99	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	1	0	2	0	8	0	0	0	0	1	66	0	0	0	34	88	0	0	0	12	1	0	0	0	0	1	0	88	8	1	0	0	0	4	0	0	0	0	0	3	11	2	0	17	0	2	0	3	0	0	0	0	0	0	2	0	0	42	26	0	0	0	8	0	3	0
EnvQDWinMc2	4	0	0	0	0	2	0	0	0	0	3	0	25	0	0	0	0	0	30	0	0	2	42	61	0	0	0	24	0	0	0	0	0	1	0	45	18	0	0	1	0	2	0	0	0	0	1	10	64	23	0	13	0	12	0	3	0	2	0	0	0	7	3	0	0	16	63	0	0	2	0	2	0	0	6	0	0	0	0	0	0	0	0	1	7	0	10	0	0	0	0	0	330	1	0	4	142	74	1	0	0	34	5	0	0	0	0	6	0	86	22	1	1	0	0	9	0	0	0	0	0	13	38	11	0	42	2	24	0	7	0	2	1	0	0	50	3	0	0	19	16	0	1	1	44	0	6	0
EnvQDWinMc3	1	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	49	0	0	0	22	20	0	0	0	19	0	0	0	0	0	0	1	26	14	0	1	0	0	2	0	0	0	0	0	5	2	7	0	5	0	6	0	0	0	1	0	0	0	7	1	0	0	6	49	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	18	0	0	0	25	11	0	0	0	13	3	0	0	0	0	0	0	5	4	0	0	0	0	1	0	0	0	0	0	1	10	1	0	9	0	2	0	0	0	0	0	0	0	14	0	0	0	35	6	0	0	0	11	0	1	0
EnvQDWinMc4	14	0	0	0	1	1	0	1	1	0	5	0	13	2	0	0	0	0	80	0	1	0	60	118	0	0	0	70	4	0	0	0	0	2	0	79	28	0	0	1	0	6	0	0	0	0	1	46	6	23	0	27	0	6	0	7	0	0	0	0	0	25	5	0	0	13	99	0	0	4	2	6	0	0	7	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	25	0	0	3	46	71	0	0	0	33	0	0	0	0	0	0	0	61	5	24	0	1	0	2	0	0	0	0	0	14	52	6	0	57	0	15	0	1	0	0	1	0	0	8	3	0	0	71	14	0	1	2	13	0	2	1
EnvQDWinMc5	17	0	0	0	0	3	0	0	0	0	4	1	19	0	0	0	0	0	47	0	0	2	42	59	0	0	0	67	2	0	0	0	0	0	1	56	24	0	0	0	0	4	0	0	0	0	0	9	9	17	0	18	0	12	0	5	0	0	1	0	0	6	1	0	0	17	51	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	57	0	0	1	15	40	1	0	0	12	0	0	0	0	0	0	0	64	7	0	0	0	0	1	0	1	0	0	0	22	1	3	0	77	0	6	0	0	0	0	0	0	0	2	1	0	0	1	1	0	0	0	6	0	0	0
EnvQDWinMR1	307	1	0	0	0	1	0	0	1	9	0	0	3	0	0	0	0	0	21	0	3	3	39	14	6	1	0	11	3	0	0	0	0	9	2	3	35	0	12	20	0	138	0	0	0	0	0	0	345	64	6	66	10	293	0	88	0	31	12	0	0	12	163	3	0	8	14	0	0	0	0	0	0	1	19	0	0	0	0	2	0	0	0	3	3	1	11	0	0	0	0	2	507	0	7	5	255	62	1	0	0	148	12	0	0	0	0	5	0	75	31	7	1	9	0	28	0	1	0	0	0	6	83	7	0	18	4	85	0	23	0	28	4	0	6	50	37	0	0	38	15	3	7	1	54	2	0	0
EnvQDWinMR2	188	1	0	0	0	2	0	0	0	3	0	0	3	0	0	0	0	0	175	0	1	5	54	37	6	2	0	60	5	0	0	1	0	12	1	15	68	2	14	13	0	139	0	0	0	0	0	2	187	45	17	56	5	289	0	69	0	28	15	0	0	6	182	0	0	6	14	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	1	0	0	0	0	2	112	0	0	0	90	51	0	0	0	15	2	0	0	0	0	0	0	196	11	2	0	1	0	1	1	1	0	1	0	35	3	3	1	3	4	14	0	2	0	1	1	0	3	17	1	0	0	23	9	0	2	2	32	0	1	0
EnvQDWinMR3	180	2	0	0	0	1	0	0	0	9	0	0	2	0	0	0	0	0	52	0	0	8	18	4	10	1	0	12	2	0	0	0	0	22	1	13	55	0	16	15	0	184	0	0	0	0	0	1	369	78	9	65	2	407	0	107	0	19	7	0	0	14	147	3	0	4	13	0	0	1	0	4	0	0	5	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	70	0	1	0	50	14	1	0	0	44	2	0	0	0	0	0	1	46	2	1	0	1	0	6	0	0	0	0	0	0	16	3	0	9	1	20	0	3	0	10	1	0	0	7	2	0	0	5	4	0	3	2	9	0	0	0
EnvQDWinMR4	250	4	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	21	0	1	8	15	4	2	4	0	1	10	0	0	0	0	22	1	9	55	0	26	17	0	214	1	0	0	0	0	0	542	48	16	51	5	538	0	123	0	20	10	1	0	2	183	3	0	8	9	0	0	0	1	0	0	2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	158	0	0	1	66	60	0	0	0	38	5	0	0	1	0	0	0	350	5	1	0	0	0	1	0	0	0	0	0	17	6	3	0	3	2	10	0	4	0	1	3	0	1	8	8	0	0	33	4	1	2	0	15	0	0	0
EnvQDWinMR5	175	3	0	0	0	0	0	0	0	9	0	0	4	0	0	0	0	0	49	0	2	3	33	8	12	2	0	21	4	0	0	0	0	32	5	10	82	1	14	11	0	234	0	0	0	0	0	0	297	45	25	55	6	462	0	130	0	29	11	0	0	4	162	1	0	7	13	0	0	1	1	1	0	1	26	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	89	0	3	2	50	11	0	0	0	2740	6	0	0	0	0	2	1	13	16	1	0	8	0	11	0	0	0	0	0	5	31	12	2	9	0	20	0	3	0	10	8	0	0	41	30	0	0	13	13	0	0	1	6	0	0	0
EnvQDWinPort1	74	2	0	0	1	1	0	0	0	9	0	1	85	0	0	0	0	0	29	0	1	11	22	19	4	0	0	3	20	0	0	0	0	23	1	14	285	0	7	0	0	93	0	0	0	0	0	0	92	36	2	33	1	223	0	50	0	8	1	0	0	3	27	3	0	6	96	0	0	1	0	2	0	1	23	0	0	0	0	0	0	0	1	5	3	0	8	0	0	0	0	2	107	0	0	0	46	107	0	0	0	68	5	0	0	0	0	1	1	75	28	0	1	0	0	10	1	0	0	0	1	4	5	9	0	7	1	18	0	11	0	0	3	0	0	4	5	0	0	6	22	0	0	0	1	2	0	0
EnvQDWinPort2	109	1	0	0	1	1	0	0	0	13	2	0	57	0	0	0	0	0	55	0	1	11	43	26	5	0	0	32	30	0	0	0	0	27	2	8	292	0	5	9	0	142	0	0	0	0	0	2	114	38	0	34	1	292	0	59	0	5	5	0	0	7	40	0	0	8	72	0	0	3	0	1	0	0	5	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	101	1	0	5	45	27	0	0	0	64	11	1	0	0	0	0	0	14	12	0	0	0	0	3	0	0	0	0	0	4	12	6	0	10	0	10	0	5	0	3	1	0	0	29	3	0	0	71	7	0	3	10	23	0	0	0
EnvQDWinPort3	113	0	0	0	1	1	0	0	0	11	1	1	73	0	0	0	0	0	86	0	1	21	40	26	3	0	0	19	16	0	0	0	0	26	1	29	196	1	4	11	0	106	0	0	0	0	0	0	104	40	8	45	2	216	0	66	0	1	2	1	0	2	18	0	0	6	73	0	0	3	2	1	1	0	10	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	79	0	0	19	44	219	1	0	0	9	2	0	0	0	0	3	0	143	21	5	0	2	0	8	0	0	0	0	0	0	279	8	0	5	1	72	0	6	0	3	2	0	0	8	2	0	0	20	17	0	1	1	20	2	0	0
EnvQDWinPort4	95	0	0	0	0	0	0	0	0	8	2	1	42	0	0	0	0	0	90	0	1	11	39	24	2	0	0	8	33	0	0	0	0	26	0	22	148	0	6	5	0	60	0	0	0	0	0	0	113	33	0	26	0	241	0	33	0	3	1	0	0	13	18	0	0	6	86	0	0	2	0	1	0	0	13	1	0	0	0	0	0	0	4	0	2	0	4	0	0	0	0	0	247	0	1	1	143	58	1	0	0	53	7	0	0	0	0	3	0	43	41	1	0	2	0	18	1	0	0	0	0	1	216	12	3	13	3	41	0	13	0	5	4	0	4	12	3	0	0	19	17	3	3	1	50	1	0	0
EnvQDWinPort5	104	0	0	0	1	2	0	0	0	4	1	0	34	0	0	0	0	1	49	0	1	1	64	35	1	0	0	13	8	0	0	0	0	11	0	6	293	1	1	1	0	96	0	0	0	0	0	3	68	30	11	29	7	202	0	105	0	3	1	0	0	20	20	0	0	3	66	0	0	0	1	2	0	3	4	0	0	0	0	0	0	1	0	0	4	0	5	0	0	0	1	0	317	0	1	2	189	55	0	0	0	50	14	1	0	0	0	3	0	183	25	2	0	1	0	8	0	0	0	0	0	0	18	6	0	17	2	26	0	7	0	2	1	0	2	9	1	0	0	24	8	4	8	0	66	1	0	1
EnvQDWinWWTP1	14	0	0	0	0	0	0	1	0	0	3	1	78	0	0	0	0	0	23	0	0	1	18	6	0	0	0	10	12	0	0	0	0	3	0	11	87	0	1	1	0	7	0	0	0	0	0	0	9	11	0	11	1	51	0	2	0	2	3	0	0	1	6	0	0	13	38	0	0	3	0	1	0	0	87	0	0	0	0	0	0	1	0	0	1	3	11	0	0	0	0	1	19	0	1	3	16	11	0	0	0	10	21	0	0	0	0	5	0	12	203	3	3	0	0	30	0	0	0	0	0	0	29	32	0	9	1	51	0	4	0	1	5	0	0	6	15	1	0	84	98	0	0	5	1	0	0	0
EnvQDWinWWTP2	15	0	0	0	0	0	0	0	0	2	5	0	59	0	0	0	0	0	53	0	0	1	29	7	0	1	0	3	19	0	0	0	0	2	0	13	57	0	0	0	0	13	0	0	0	0	0	0	15	5	2	10	1	30	0	4	0	1	0	0	0	5	2	0	0	2	33	0	0	2	0	1	0	0	15	0	0	0	0	1	0	0	0	0	3	1	12	0	0	0	0	4	72	0	0	1	65	31	0	0	0	47	9	1	0	0	0	1	0	18	44	5	0	2	0	11	0	1	0	0	0	1	24	12	0	5	1	27	0	3	0	2	0	1	2	6	11	0	0	212	44	0	0	11	7	0	2	0
EnvQDWinWWTP3	8	0	0	0	0	1	0	0	0	0	3	1	114	0	0	0	0	0	23	0	0	1	40	7	1	1	0	8	28	0	0	0	0	8	0	10	69	0	0	2	0	15	0	0	0	0	0	0	20	13	1	16	0	41	0	5	0	0	1	0	0	11	4	0	0	10	42	0	0	2	1	0	0	0	20	0	0	0	0	0	0	0	1	3	0	0	16	0	0	0	0	0	85	0	0	29	36	30	0	0	0	116	12	8	0	0	0	4	0	29	106	2	3	0	0	22	0	0	0	0	0	1	40	8	6	28	0	161	0	0	0	1	2	0	0	1	4	0	0	16	93	0	0	4	2	0	3	0
EnvQDWinWWTP4	11	0	0	0	0	0	0	0	2	0	4	1	118	0	0	0	0	0	22	0	1	1	41	5	0	1	0	11	27	0	0	0	0	3	1	12	44	0	0	2	0	13	0	0	0	0	0	1	19	10	0	10	0	31	0	1	0	1	1	0	0	8	5	0	0	8	43	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	2	63	0	0	3	21	28	0	0	0	37	9	0	0	0	0	6	0	35	18	3	0	0	0	12	0	0	0	0	0	1	20	1	0	18	1	16	0	2	0	1	1	0	0	4	0	0	0	14	25	0	0	7	2	0	0	0
EnvQDWinWWTP5	6	0	0	0	0	0	0	0	0	0	3	1	89	0	0	0	0	0	93	0	1	2	28	8	0	0	0	40	20	0	0	0	0	2	0	19	48	0	0	0	0	11	0	0	0	0	0	2	12	10	0	7	1	50	0	2	0	1	0	0	0	6	3	0	0	6	33	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	13	0	0	0	22	4	0	0	0	4	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	4	1	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0
