sample,Akashiwo sanguinea,Alexandrium andersonii,Alexandrium hiranoi,Alexandrium ostenfeldii,Alexandrium tamarense,Amphidinium klebsii,Azadinium poporum,Chrysochromulina leadbeateri,Dinophysis acuminata,Dinophysis miles,Fibrocapsa japonica,Gonyaulax spinifera,Gymnodinium catenatum,Heterosigma akashiwo,Karenia mikimotoi,Karlodinium veneficum,Lingulodinium polyedra,Margalefidinium fulvescens,Margalefidinium polykrikoides,Polykrikos hartmannii,Prorocentrum cordatum,Prorocentrum rhathymum,Protoceratium reticulatum,Protoperidinium crassipes,Prymnesium parvum,Prymnesium polylepis,Pseudo-nitzschia australis,Pseudo-nitzschia cuspidata,Pseudo-nitzschia delicatissima,Pseudochattonella verruculosa,Alexandrium cohorticula,Asterionellopsis glacialis,Aureococcus anophagefferens,Chaetoceros curvisetus,Chaetoceros debilis,Chaetoceros diadema,Chaetoceros lorenzianus,Chaetoceros pseudocurvisetus,Chaetoceros rostratus,Chaetoceros simplex,Chaetoceros socialis,Chaetoceros tenuissimus,Chaetoceros throndsenii,Coscinodiscus radiatus,Cyclotella meneghiniana,Cylindrotheca closterium,Dictyocha fibula,Dunaliella salina,Eucampia zodiacus,Gonyaulax polygramma,Gonyaulax verior,Guinardia flaccida,Halamphora coffeiformis,Heterocapsa triquetra,Lauderia annulata,Lepidodinium chlorophorum,Leptocylindrus danicus,Levanderina fissa,Nitzschia longissima,Noctiluca scintillans,Plagioselmis prolonga,Prorocentrum triestinum,Protodinium simplex,Pseudocochlodinium profundisulcus,Pyrophacus steinii,Skeletonema marinoi,Teleaulax acuta,Tenuicylindrus belgicus,Thalassiosira allenii,Thalassiosira curviseriata,Thalassiosira mala,Thalassiosira pseudonana,Thalassiosira weissflogii,Tripos fusus
PlaHKSumMR4,39,0,0,6,3,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,16,1,0,0,0,0,1,1,8,0,0,0,0,7,0,5,1,1,1,0,0,334,0,1,128,1534,2,82,11,0,0,2,141,7,2,1,3,8,8,16,7,27,11,0,1,41,16,0,2,6,85,0,2,0
PlaHKSumPort1,27,0,0,4,9,0,0,0,0,0,4,0,0,1,0,1,1,0,1,0,1,3,0,0,0,0,0,63,2,0,1,0,0,0,0,1,0,0,0,0,0,41,1,0,50,16,5,36,6,0,0,0,2,12,0,3,5,3,0,30,4,66,17,0,0,26,23,1,7,0,3682,0,13,0
PlaHKSumWWTP2,151,0,1,11,61,0,0,0,0,1,13,0,3,8,4,0,3,0,0,2,10,10,0,1,3,0,1,10,6,2,0,2,1,0,0,1,1,0,0,0,1,371,0,6,341,39,12,68,27,0,0,10,24,100,0,23,25,10,0,126,5,279,194,2,0,72,11,4,35,0,450,0,17,2
PlaHKWinBeach1,62,0,2,17,22,0,0,0,0,0,6,1,1,6,3,1,0,0,1,11,7,13,1,0,3,7,0,5,9,0,0,3,1,0,0,3,0,0,1,0,1,186,1,4,112,825,7,18,15,1,0,8,105,71,0,5,4,114,2,147,9,137,122,0,0,26,7,1,15,2,127,0,11,6
PlaHKWinBeach2,38,0,0,0,11,0,0,0,0,0,1,0,22,4,20,1,0,0,0,1,5,0,0,0,0,3,9,0,8,0,0,1,0,0,1,0,0,0,0,0,0,94,0,9,67,906,0,9,6,1,0,16,285,39,0,24,4,4,3,11,10,37,34,0,0,7,13,0,7,5,25,0,6,2
PlaHKWinBeach3,51,1,1,2,3,0,0,0,0,1,3,1,2,12,2,0,2,0,0,9,13,2,0,0,2,3,0,3,46,2,0,2,0,0,0,0,0,0,0,0,0,230,0,13,164,453,0,50,27,0,0,8,61,59,0,8,19,30,3,37,9,91,198,1,0,68,60,1,7,1,39,0,17,3
PlaHKWinEs1,68,1,2,25,46,0,0,0,0,0,4,0,1,16,0,1,0,0,1,1,5,4,0,0,1,2,1,2,35,0,0,5,1,0,0,3,0,0,0,0,1,163,1,7,81,72,18,41,12,0,1,12,1045,15,0,4,7,5,3,11,4,66,23,0,0,52,24,0,6,2,27,0,6,2
PlaHKWinEs2,60,0,0,39,69,0,0,0,0,0,5,0,0,30,1,0,0,0,1,2,6,5,0,1,1,3,1,7,40,0,0,7,1,0,1,12,1,0,0,1,5,106,1,2,140,209,10,33,24,0,0,19,429,15,0,12,14,11,2,38,14,115,36,0,1,64,31,3,7,1,66,0,5,5
PlaHKWinEs4,101,0,1,8,12,0,0,0,0,2,6,0,0,90,1,0,0,0,3,31,28,2,0,0,0,6,0,9,100,0,0,27,4,0,0,48,0,0,0,1,18,52,3,5,64,103,16,27,45,0,0,10,276,38,0,15,45,6,6,41,25,231,67,0,0,68,83,3,7,0,161,0,8,1
PlaHKWinEs5,116,1,5,16,48,0,0,0,0,1,8,0,1,67,3,0,2,0,0,33,11,3,0,0,1,11,2,6,30,2,0,17,3,0,1,15,1,0,0,0,12,36,5,4,87,136,80,25,32,0,0,9,205,334,1,60,40,9,0,77,8,232,152,0,0,17,11,1,5,0,111,0,9,2
PlaHKWinMc1,16,0,1,4,0,1,0,0,0,0,2,0,0,7,1,0,0,0,0,0,37,26,0,0,0,2,1,1,25,1,0,0,1,0,0,2,0,0,0,0,0,208,0,20,73,259,4,158,5,0,0,9,52,27,0,2,2,8,3,4,16,50,23,0,0,69,344,0,3,0,38,0,9,6
PlaHKWinMc10,61,0,0,19,9,0,1,0,1,0,4,0,2,3,0,6,0,0,2,1,11,9,0,1,7,2,2,2,10,27,0,0,0,0,0,21,0,0,0,0,1,102,0,9,196,187,5,58,19,0,0,16,26,35,1,35,2,19,5,113,20,124,58,0,1,77,51,3,4,2,88,0,2,0
PlaHKWinMc11,44,0,0,0,6,0,1,0,0,0,5,2,1,5,3,5,1,0,0,1,11,8,0,0,3,3,1,1,16,2,0,1,0,0,2,4,0,0,0,0,0,127,0,809,125,47,2,15,22,0,0,13,23,66,0,18,10,8,0,32,17,73,75,0,0,14,30,0,10,2,903,0,2,1
PlaHKWinMc12,57,1,0,2,1,0,1,0,1,1,7,1,1,10,4,5,0,0,0,16,13,4,0,0,3,0,0,4,33,4,0,0,2,0,0,3,0,0,0,0,0,236,0,464,142,122,4,40,41,1,0,17,39,87,0,30,19,28,4,56,14,89,189,0,1,60,194,1,7,3,100,0,19,5
PlaHKWinMc13,29,2,0,5,5,0,3,1,0,0,2,0,2,7,2,3,0,0,0,1,25,4,0,0,4,1,2,6,48,4,0,0,0,0,2,6,0,0,0,0,0,228,0,82,133,107,1,42,18,0,0,20,31,65,0,20,3,4,2,39,23,89,40,0,0,84,232,1,9,1,109,0,7,4
PlaHKWinMc15,50,2,2,14,17,0,2,0,0,0,1,0,0,5,4,4,0,0,0,0,6,5,0,0,6,5,3,0,10,4,0,0,0,0,0,5,0,0,0,0,0,120,0,76,197,238,3,33,20,1,0,12,34,33,0,24,3,15,5,57,27,104,40,0,1,44,52,0,3,3,245,2,2,0
PlaHKWinMc2,8,1,0,5,9,0,0,0,0,0,0,0,1,26,0,0,0,0,1,1,7,0,0,0,1,0,0,0,9,0,0,1,0,0,0,0,0,0,0,1,0,66,0,2,74,1659,2,14,6,0,0,5,104,6,0,3,1,6,4,15,7,27,15,0,0,87,33,0,1,0,25,0,2,1
